trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
50,False,"{'a': 0.6, 'e': 0.37531109885139957}",25,11,-42.872854073631885,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.6, 'e': 0.36787944117144233}",20,7,-26.152549896542226,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.6, 'e': 0.3605949401730783}",35,21,-8.048172243632205,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.6, 'e': 0.35345468195878016}",25,0,-17.99509716502418,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.6, 'e': 0.3464558103300574}",25,0,-15.084821360095784,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.6, 'e': 0.3395955256449391}",20,3,15.091088887282204,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.6, 'e': 0.33287108369807955}",30,0,-91.98870482404682,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.6, 'e': 0.32627979462303947}",20,0,-15.148299887995085,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.6, 'e': 0.31981902181630384}",30,16,-28.212373481610147,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.6, 'e': 0.3134861808826053}",20,11,6.695531155743247,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.6, 'e': 0.30727873860113125}",30,0,-2.5191254689357114,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.6, 'e': 0.30119421191220214}",25,12,13.878534189112003,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.2952301669240142}",25,18,4.69839336411281,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
